rating,content,language_prob,lencontent,Positive,Negative,Neutral
3,"Übersicht: Bitte wieder konto gesamt übersicht.
Nicht kacheln!!",de,63,0.009495225,0.9903286,0.00017597151
2,"Super verschlimmbessert: Waren gerade alle UI Designer in Quarantäne oder was? Eine gute UI zeichnet sich unter anderem dadurch aus, dass man nicht immer wieder komplett ALLES umgestaltet! Furchtbar.",de,199,0.009758345,0.9894106,0.00083120965
1,"Ein Rückschritt: Die alte Postfinanceapp (vor März 2021) hat mir alles geboten, das ich benötige.
Mit der neuen stehen weniger Funktionen zur Verfügung. Z.B. Rechnugnen freigeben für mein Unternehmen? Gibt es nicht mehr.
Liebe Postfinance: DIgitalisierung stelle ich mir anders vor. Digitalisierung ist nicht einfach ein anderes App-Icon und andere Darstellung - Funktionialität und Vereinfachung von Abläufen erwarte ich. Für mich bedeutet der Update deutlichen mehr manuellen Mehraufwand.",de,490,0.01672192,0.98314273,0.00013527546
1,"Gute Funktionen verschwunden: Saldoverlauf, Listendarstellungen verschwunden. Hoffentlich wird die App noch gross weiterentwickelt. Mag sein, dass sie aus IT Sicht auf besseren Füssen steht, von der Bedienerseite ist sie ein Rückschritt.",de,237,0.008897331,0.99047554,0.0006270806
1,"Bitte gebt uns die Gesamtansicht der Konten zurück: Neues Update aber nichts geändert... 
Bitte zeigt in der Übersicht wieder alle gewählten Konten auf einen Blick an mit dem Gesamtbetrag unten an der Liste. Dieses durchwischen ist mühsam!",de,239,0.0072756745,0.992667,5.7109053e-05
1,"Euer Ernst???: Seit der neuen APP kann man keine IBAN mehr in die App kopieren, auch sonstige Informationen können nicht reinkopiert werden! Im digitalen Zeitalter über 20 Stellige Nummern per hand eintippen??? 🤬🤬",de,213,0.0048461775,0.99513245,2.1445818e-05
1,Nicht zu gebrauchen: BITTE GEBT UNS DIE ALTE APP WIEDER ZURÜCK BITTE !!!,de,72,0.9573943,0.0421466,0.0004590551
1,"Enttäuscht: Bis jetzt war die Post E-Finance App top, nach dem Update nur noch flop. 
Die ganzen einfachen Bedienungen und die tolle Übersicht sind weg. 
Schnellservice funktioniert nicht. Suchfunktion schlecht. 
Ich wünsche mit die alte App zurück.",de,249,0.0005292462,0.99945986,1.0751811e-05
1,"Jetzt ist der Kunde schuld?: „Wir haben wirklich vieles verändert und verstehen, dass es Zeit braucht sich mit dem Neuen vertraut zu machen“...? Das ist ein Schlag ins Gesicht der Kunden. Halten sie die Kunden für zu dumm um die neue App zu verstehen? Sie haben tonnenweise Funktionen entfernt und gewisse Vorgänge komplizierter gestaltet. Und jetzt soll das nur eine Anpassungsphse sein? Was für eine Arroganz",de,410,0.00468636,0.9951941,0.000119733864
2,"It was better before: In general I like the app, but it was much better before when I could see the balance of all my accounts at once in the main screen. Please bring Theo's feature back!",en,188,0.009793871,0.99018186,2.4230481e-05
