rating,content,date
3,"Übersicht: Bitte wieder konto gesamt übersicht.
Nicht kacheln!!",2017-06-21 14:33:22
2,"Super verschlimmbessert: Waren gerade alle UI Designer in Quarantäne oder was? Eine gute UI zeichnet sich unter anderem dadurch aus, dass man nicht immer wieder komplett ALLES umgestaltet! Furchtbar.",2021-03-06 09:50:52
1,"Ein Rückschritt: Die alte Postfinanceapp (vor März 2021) hat mir alles geboten, das ich benötige.
Mit der neuen stehen weniger Funktionen zur Verfügung. Z.B. Rechnugnen freigeben für mein Unternehmen? Gibt es nicht mehr.
Liebe Postfinance: DIgitalisierung stelle ich mir anders vor. Digitalisierung ist nicht einfach ein anderes App-Icon und andere Darstellung - Funktionialität und Vereinfachung von Abläufen erwarte ich. Für mich bedeutet der Update deutlichen mehr manuellen Mehraufwand.",2021-03-15 18:35:31
1,"Gute Funktionen verschwunden: Saldoverlauf, Listendarstellungen verschwunden. Hoffentlich wird die App noch gross weiterentwickelt. Mag sein, dass sie aus IT Sicht auf besseren Füssen steht, von der Bedienerseite ist sie ein Rückschritt.",2021-03-04 04:10:36
1,"Bitte gebt uns die Gesamtansicht der Konten zurück: Neues Update aber nichts geändert... 
Bitte zeigt in der Übersicht wieder alle gewählten Konten auf einen Blick an mit dem Gesamtbetrag unten an der Liste. Dieses durchwischen ist mühsam!",2017-06-14 21:34:23
1,"Besseres Design, sehr viel weniger Funktionen: Insgesamt ein deutlicher Rückschritt. Wer hat sich denn nur so wenig bei der Entwicklung dieser App gedacht.
Vorsorgefonds können nicht mehr gezeichnet werden.
Bei den pendenten Aufträgen kann man nicht bis z.B. bis zum 10. des folgenden Monats anzeigen lassen.
Bei den pendenten Aufträgen kann man nicht sehen was nach Bezahlung aller Aufträge noch als Restbetrag auf dem Konto bleibt.
Ausloggen muss man unter Einstellungen.
Ach hätte man doch jemand gefragt, der was davon versteht.
Erbärmlich diese App.",2021-03-05 03:00:09
1,"Euer Ernst???: Seit der neuen APP kann man keine IBAN mehr in die App kopieren, auch sonstige Informationen können nicht reinkopiert werden! Im digitalen Zeitalter über 20 Stellige Nummern per hand eintippen??? 🤬🤬",2021-03-04 20:00:59
1,Nicht zu gebrauchen: BITTE GEBT UNS DIE ALTE APP WIEDER ZURÜCK BITTE !!!,2021-03-09 12:05:19
1,"Enttäuscht: Bis jetzt war die Post E-Finance App top, nach dem Update nur noch flop. 
Die ganzen einfachen Bedienungen und die tolle Übersicht sind weg. 
Schnellservice funktioniert nicht. Suchfunktion schlecht. 
Ich wünsche mit die alte App zurück.",2021-03-06 14:46:21
1,"Jetzt ist der Kunde schuld?: „Wir haben wirklich vieles verändert und verstehen, dass es Zeit braucht sich mit dem Neuen vertraut zu machen“...? Das ist ein Schlag ins Gesicht der Kunden. Halten sie die Kunden für zu dumm um die neue App zu verstehen? Sie haben tonnenweise Funktionen entfernt und gewisse Vorgänge komplizierter gestaltet. Und jetzt soll das nur eine Anpassungsphse sein? Was für eine Arroganz",2021-04-09 21:49:40
2,"It was better before: In general I like the app, but it was much better before when I could see the balance of all my accounts at once in the main screen. Please bring Theo's feature back!",2017-06-23 16:17:22
1,Ist müll: App nicht updaten viele Funktionen sind nicht mehr verfügbar,2021-03-09 15:57:41
1,"iPhone 6 obsolète :-((: J'ai un iPhone 6 qui est en parfait état et que je devrais changer parce que votre nouvelle app PF n'est pas compatible avec son système...  C'est regrettable que vos informaticiens ne soient pas parvenus à concevoir une une application qui accepte de fonctionner avec le système iOS 12!
Que me proposez-vous? C'était le seul moyen de faire mes paiements sans devoir aller au guichet!",2021-05-08 11:37:49
1,"für Kindergarten gemacht: Nur noch absolute Basicfunktionen. Es können nicht einmal mehr Konten (zB 3a) ausgeblendet werden. 
Sicherheitslimiten setzten nicht möglich! Die alte Version war besser.",2021-03-04 14:55:15
1,"ROLLBACK your Mar’21 update - Epic Failure: Dear PostFinance Developers and your “effective” management, thank you very much for doing your job “properly”.

After the update of the PostFinance App on my iPhone X, 3D-Secure (Face ID) payments with my PostFinance credit card do not work, PF TWINT App does not work...

The new interface of the PF App is more than questionable, but I’d digest it if things worked.  BUT EVERYTHING GOT BROKEN!!!

Called support. They advised to reinstall the Apps. Busy searching now for my old PF card reader to register the reinstalled App...

ROLL YOUR DISASTROUS UPDATE BACK!!!

And please do a PROPER testing next time.
And find a way to gather clients feedback before pushing something like that out.

Epic failure...",2021-03-26 01:10:18
1,"0 Sterne!: Die Idee war wohl: ""Lasst uns alle Vorteile der alten App wegmachen und sie durch Schei**e ersetzen."" Wenn dem so ist: Gratulation, hat funktioniert.",2021-03-16 22:29:02
1,"Update App: Update ist eine absolute Katastrophe, zurück zur Vorgängerversion!",2021-03-04 22:14:48
1,"Ebill: Immer noch keine Kontoauswahl für ebills. Macht doch einfach einen Link zum ebill-Portal. Wie es auch andere Banken machen, z.B. neon.
Es wäre so einfach!!",2020-11-15 12:08:17
1,"Überlege zu kündigen nach Update von vor 2 Tagen: Die neue Version 5 der App ist unbrauchbar. Viele wichtige Funktionen, Informationen und Details sind nicht mehr verfügbar. Das neue Design hilft mir nicht meine Bankangelegenheiten zu regeln.

Ich würde die Verantwortlichen für dieses Release per Sorfort entlassen und fordere hier als Kunde ein Rollback zur vorherigen Version.",2021-03-11 00:04:09
1,Gesamtansicht: Schlechtes Update - Gesamtansicht aller Konten inkl Gesamttotal ist verschwunden. Ich will auch nicht durch jedes Konto durchwischen. Bitte wieder Rückgängig machen.,2017-06-23 14:05:09
1,"Sorry…: … aber ich fnde die App auch 2 Monate nach Launch nicht besser 👎🏻

So viel zum Thema „du musst dich nur daran gewöhnen“…

Weshalb muss ich bspw. auf jede Transaktion einzeln klicken, um zu sehen, an wen und wofür die war…",2021-06-14 20:11:55
1,"Unbrauchbar: Die App ist nicht mehr zu gebrauchen.
Ziemlich frech zu sagen dass man versteht das die Leute länger brauchen um sich an die neuen Funktionen zu gewöhnen...
Welche Funktionen? Die App hat ja keine mehr!
Absolute Katastrophe und für eine Banking-App und die Post einfach nur peinlich.",2021-04-03 16:03:57
1,Neue App: Mir fehlt eindeutig der Schnellservice!! Finde die neue App mühsamer in der Handhabung und ehrlich gesagt brauche ich nicht alle meine Konten zu sehen. Meine Zahlungen mache ich nach wie vor über den Laptop und durch die Aktivierung der App muss ich nun jedesmal auf meinem Natel eine Bestätigung drücken um an meine Konten zu gelangen. Wenn ich nun aber die App deaktiviere kann ich den Kontostand auf meinem Natel nicht mehr einsehen. Sehr schade.,2021-03-20 08:24:25
1,Hilfe - verheerendes Update!: Wo sind die ganzen Funktionen hin? Absolut unübersichtlich. Für mich unbrauchbar!,2021-03-15 15:54:24
1,"iPad ?: Zwei Logins. 2 Crashes. Mobilnummer erzwungen. Am iPad vorbei entwickelt. Keine Übersicht über Konten. 

Gelöscht. Webbrowser ist besser.
Vielleicht schau ich in ein paar Monaten nochmal rein...",2021-03-09 20:15:24
1,nicht korrekt: mann kann plötzlich nicht mehr die kreditkarte aufladen!!!!!!‘nn   was soll das für ein update sein ????!!,2021-03-09 12:46:58
1,"Warum???: Weshalb dieses unübersichtliche Update? 
Vorher war der Aufbau und die Übersicht um Welten besser. Schade, gut gemeint aber für mich und die meisten Nutzer definitiv suboptimal die ganze Umgestaltung. Bitte macht dieses Update rückgängig! Eine absolute Benutzerunfreundliche App...!! 🤬",2021-03-09 10:56:04
1,"Nicht updaten: An alle die noch nicht geupdated habt. Macht es nicht. Die App war gut. Die neue Version ist jetzt leider schlichtweg schlecht, da alle nützlichen Features entfernt wurden. Ein schlechter MVP go-live.",2021-03-09 08:53:45
1,Sehr schade!: Vor dem Update um Welten besser!,2021-03-09 08:51:52
1,"und dan: Die neuste Version 2021 ist eine Beleidigung für jemanden, der mehr als nur Einzahlungsscheine scannen möchte. Kein Zugriff auf Zahlungsvorlagen, kein Quick Login mehr. Die App ist so schlecht. 

-2020: War mal modern und wird kompliziert:
Inzwischen ist die App etwas angestaubt, die Funktionen sind so angeordnet, dass man sie immer suchen darf. Der Währungsrechner unterstützt immerhin drei Währungen. Der Scanner für Rechnungen dauert Ewigkeiten im Vergleich mit der Konkurrenz, aber das wird sich hoffentlich irgendwann mit dem neuen Einzahlungsschein einpendeln. In Zukunft. Ab Bildschirm lässt sich nichts einscannen, also muss man die Rechnung ausdrucken, dann scannen. Ressourcenschonend. 
Wenn man mobileID der Swisscom nicht will oder hat, ist man gefälligst angehalten den kleinen Taschenrechner, wie’s in den 2000-er Jahren üblich war, und die Bankkarte dabei haben. Ist doch klar.
Man sieht die Probleme der PostFinance, die sich nichts mehr leisten möchte, da ihr IT System etwas teuer geraten ist.
Support per zahlungspflichtigem Telefonanruf? Heute möchte ich dies ja wirklich nicht per Chat erledigen, wäre ja etwas zu modern.
Einloggen mit propietärem Mobile-ID der Swisscom, das nicht von allen Mobiltelefonanbietern unterstützt wird? Klar, schliesslich war man ja ein Staatsunternehmen.",2021-03-09 08:12:42
1,WTF: noch weniger Funktionen geht nicht?,2021-03-09 07:47:16
1,"Schlecht, Schlechter,Postfinance: Es braucht viel, um in unserer hochtechnologisierten Welt eine App zu verschlechtern.Den Entwickler der Postfinance App ist dies gelungen.Gratuliere!!!
Es fehlt eine vernünftige und User freundliche Übersicht, die Telefonnummer, obwohl korrekt, kann nicht gespeichert werden, die Logout Information muss über 7- Ecken gesucht werden und, und und.. Der Platz reicht nicht für alles.
Schade dass eine gute App durch einen Update unbrauchbar gemacht wurde.",2021-03-09 07:39:29
1,Was ein schaiss?!: Personal für Webdesign gekündigt und der Lehrling am Schalter muss nun euer App entwickeln? Lächerlich,2021-03-09 06:44:01
1,"TouchID geht nicht: TouchID Registrierung funktioniert nicht - Hotline völlig überlastet - 20 Min. Wartezeit und man wird nur weiterverwiesen.

Ausserdem fehlt der Schnellservice, der bisher einen limitierten Zugriff erlaubt hat. Ich möchte nicht vollen Konto-Zugriff haben ohne 2Faktor-Auth. 

Alles ziemlich mies für so ein grosses Unternehmen.",2021-03-05 19:18:06
1,"Neue App ist nicht gut: Ich habe mich sehr auf die neue App gefreut.. leider ein Flop. Schön das Design zu aktualisieren aber wo sind die praktischen Funktionen wir der Schnellzugriff? ZB wenn ich 2 Konten habe und den Überblick mit einem Klick kriege.
Der Hammer ist die Integration der E-Tradition... 1:1 Übernommen im alten Layout dafür aber mit Bugs... wie z B das Phone Querstellen für Listenansicht, was nicht mehr geht. Offensichtlich nicht ausreichend getestet. Liebe PostFinance, das ist grad nicht state of the art was ihr da umgesetzt habt! Schade!",2021-03-04 12:05:24
1,"Amateure am Werk?: App Update führt zu Auto-Logout
Ohne gelbes kästli geht auf die schnelle nix

Einmal drin die Hälfte der Dinge die man sucht weg!?!
- Wo sind Dauerauträge?
- Wo sind Zahlungsvorlage? (Revolut lässt grüssen)?

Grossartige Userexperience... ...ich muss zur mobilen Webseite wechseln, zum Glück funktioniert die noch... ...wie kommt man auf die Idee komplett unterschiedliche UX auf App und Webseite anzubieten?

...das neue logo hat auch nix mit dem aktuellen PF Logo zu tun 🤷‍♂️

UPDATE: Push-Nachrichten die versendet sind auch alle leer - hat das zeugs mal jemand getestet🤣?",2021-03-04 06:07:56
1,Unbrauchbar: Passwort Manager funktionert nicht mit dieser App und man kann nichts ins Loginfeld hinkopieren.,2021-03-03 20:48:55
1,Schrott: Schrott!! Nicht einmal die Registrierung funktioniert... mehr muss man ja nicht dazu sagen...,2017-07-17 21:27:42
1,"Unbrauchbar: Wir wollten die App für die Erfassung von Zahlungen im Geschäft einsetzen. 

Das Login ist gewohnt umständlich.

Die Scanfunktion zur Erfassung der Einzahlungsscheine funktioniert NICHT!!! Sogar wenn das iPhone auf einer Ablage liegt und der EZS auf dem Tisch, wird die Codierzeile nicht erkannt. 

Fazit: Bringt keinen Mehrwert!",2017-06-30 09:55:30
